rn1qk2r/1p2bppp/2pp2b1/p2P4/P2N4/R3BP2/1Pp2KPP/2Q2B1R w kq - 6 20	-409
1rr3k1/6pp/PbP1pp2/8/7P/2N1n1K1/RB2B1P1/8 w - - 3 28	-584
1k6/1p4p1/p3pn2/PrprN1P1/1P1P1R2/1R2P3/8/6K1 b - - 0 27	-72
2r2k1r/3n1ppp/1p2p3/p2pP3/P7/1qP1QNP1/2R2P1P/2R3K1 w - - 0 28	-179
r1b4r/ppp1b1k1/5n2/nP2p3/3PP1pp/P1PB4/1R1N2P1/2B1K1NR b K - 1 19	438
6rk/8/p2n3q/4p2r/P3R3/2P2R1P/1P3QP1/6K1 w - - 1 35	-209
6k1/Qp1qb1p1/2p5/8/2nP4/4P3/5PPP/R5K1 b - - 10 30	-248
2r3k1/1b3pp1/1n4rp/pP2p3/P1pqP3/4R2P/3NRPP1/Q4BK1 w - - 2 27	-141
7r/kp1b4/p2Pp2P/4PpQ1/1p1p4/2qB4/2PR2PK/8 w - - 1 38	-101
r2r2k1/1bq2ppn/2p1p2p/p1P5/1b2P1P1/3BBN1P/4QP2/1RR4K b - - 4 22	14
8/2NR4/1r5k/3p4/4bPBp/6nP/8/6K1 b - - 1 48	25
8/4R1n1/3r1pk1/7p/6pP/2B3P1/1P3P2/5K2 b - - 9 39	-471
1k1r4/8/pp1bR3/2p2p1r/2n2P2/2Nq2B1/6QP/1R4K1 w - - 2 35	-592
r1b3k1/p3ppbp/2p3p1/2pr4/3P4/1P2PBPq/PB3P1P/R2Q1RK1 b - - 1 15	-183
r7/1p3k1p/5npb/p2p1p2/4p3/PqN5/1P2QPPP/R2R2K1 b - - 2 24	475
r2q1rk1/2p2pp1/bp2p3/p2pNn2/P2Pnp2/2P1P2Q/1PB4P/R1B1K1R1 w Q - 0 19	-349
1B6/P7/5pn1/5k2/8/2R3K1/r4P2/8 b - - 10 54	-588
2r3k1/5p2/6pp/8/1Q5P/p2q2P1/1b2RR1K/8 b - - 2 47	17
4nk2/5r2/3p1p2/2p4Q/P1P1PpP1/1P1R1B2/2q5/6K1 w - - 14 50	12
3q1rk1/3r1p2/p6p/1p3p2/3n2pP/2N3P1/PP1N1P2/R2QR1K1 w - - 5 22	252
5k2/r4p2/4p1p1/2P4p/7P/6PK/2R5/8 w - - 5 47	-586
r4rk1/3q1ppp/p1b1p3/8/PpPPP3/1N1B4/1B3PPP/R4RK1 b - - 2 20	374
8/2p3k1/3b3p/1R5P/1p2pP2/4B3/2r1P3/5K2 w - - 3 55	-445
8/8/6k1/p2p4/P2Kb1Pp/1p5P/4R3/8 b - - 0 54	-571
4k1r1/1q3p1p/p3p3/4n3/2p2Q2/PP1r2PP/3N1P2/R4RK1 b - - 4 25	234
8/2b2k2/r1p5/P3p1p1/1BK1PpPp/5P1P/8/R7 b - - 24 54	-106
4k3/5RR1/3pr3/r4p1P/5P2/p7/5P2/6K1 w - - 0 54	4
3r2k1/6q1/R5Q1/8/Pp5P/6P1/1PP2K2/3b4 b - - 1 32	-84
rqr1n1k1/5ppp/1p2p3/4b3/1PP4Q/2NR1P2/1B3P2/6RK w - - 6 24	-451
7b/5p1P/8/p2P4/8/1k2K3/4N1p1/8 b - - 0 76	-48
8/5K2/8/1p2k3/pP5P/P2R1P2/8/6r1 b - - 0 50	-421
