fen	coda_cp	opp_cp	outcome
8/5kp1/3R1p2/4p2p/2N4P/r2n2P1/5PK1/8 b - - 7 58	147	40	0.5
8/5kp1/1R3p2/4p2p/2N4P/6P1/5P2/r3nK2 b - - 11 60	139	56	0.5
8/5kp1/1R3p2/2n1p2p/2N4P/4K1P1/5P2/r7 b - - 15 62	150	51	0.5
8/1R3kp1/4np2/4p2p/2N4P/4K1P1/r4P2/8 b - - 19 64	156	43	0.5
6k1/6p1/3Nnp2/4p2p/r6P/4K1P1/1R3P2/8 b - - 23 66	155	52	0.5
6k1/6p1/5p2/1N2pn1p/r6P/6P1/1R2KP2/8 b - - 27 68	158	42	0.5
6k1/6p1/5p2/1N2pn1p/r6P/6P1/1R2KP2/8 b - - 31 70	146	45	0.5
8/6pk/5p2/3Npn1p/7P/6P1/1R2KP2/r7 b - - 35 72	136	41	0.5
8/6p1/5pk1/3Np2p/3nK2P/6P1/1R3P2/r7 b - - 39 74	127	37	0.5
1q4k1/5pp1/7p/1pP1p3/3rP1bP/2Q3P1/7K/2R2B2 w - - 0 35	-140	-59	0.5
2b3k1/2P2pp1/1q5p/1p2p3/3rP2P/2Q3P1/7K/2R2B2 w - - 1 37	-165	-75	0.5
2b3k1/2P2pp1/5q1p/2Q1p3/1p1rP2P/6P1/8/2R2BK1 w - - 0 39	-174	-86	0.5
2b3k1/2P2pp1/2R4p/4p3/3rP2P/1p4P1/8/5BK1 w - - 0 41	-181	-87	0.5
