fen	played_uci	coda_cp	opp_cp	dur	src
5rk1/1p2q1p1/p6p/2rpPB2/8/2P4P/PP4P1/1K1Q1R2 b - - 2 19	c5c6	72	11	2	runA150.pgn
5k2/4b3/R7/2p2K1p/1pB5/1P4r1/8/8 b - - 3 43	e7d8	75	15	2	runA150.pgn
3b1k2/8/7R/2p2K1p/1pB5/1P4r1/8/8 b - - 5 44	g3g5	55	9	2	runA150.pgn
1r1r2k1/1b2qpbn/p2pp1p1/1pp4p/1nP1PP2/1PNPBNPP/P2Q2B1/2R2RK1 w - - 11 16	f4f5	105	63	5	runA150.pgn
1r1r2k1/1b2qpbn/p2pp1p1/2p2P1p/1np1P3/1PNPBNPP/P2Q2B1/2R2RK1 w - - 0 17	f5g6	134	60	5	runA150.pgn
1r1r2k1/1b2q1bn/p2pp1p1/2p4p/1np1P3/1PNPBNPP/P2Q2B1/2R2RK1 w - - 0 18	b3c4	111	61	5	runA150.pgn
br3nk1/4q1b1/p1npp1p1/2p4p/2P1PN1P/3PBNPB/r7/2RQ1RK1 w - - 0 24	f3g5	108	27	5	runA150.pgn
br3nk1/4q1b1/p2pp1p1/2p3Np/2PnPN1P/3PB1PB/r7/2RQ1RK1 w - - 2 25	c1b1	132	59	5	runA150.pgn
b4nk1/4q1b1/p2pp1p1/2p3Np/2PnPN1P/3PB1PB/rr6/1R1Q1RK1 w - - 4 26	b1b2	136	52	5	runA150.pgn
b4nk1/4q3/p2pp1p1/2p3Np/2P1PN1P/3P2PB/5b2/3Q3K w - - 0 30	h1g2	122	32	4	runA150.pgn
b4nk1/4q3/p2pp1p1/2p3Np/2PbPN1P/3P2PB/6K1/3Q4 w - - 2 31	h3e6	85	26	4	runA150.pgn
b5k1/4q3/p2pn1p1/2p3Np/2PbPN1P/3P2P1/6K1/3Q4 w - - 0 32	f4e6	99	9	4	runA150.pgn
2b5/4q1k1/p2p1bp1/2p3Np/2P1PN1P/1Q1P2P1/6K1/8 w - - 7 36	b3b8	45	0	2	runA150.pgn
1Qb5/3q2k1/p2p1bp1/2p3Np/2P1PN1P/3P2P1/6K1/8 w - - 9 37	f4e6	40	0	2	runA150.pgn
